	Alveolar-Type1	Alveolar-Type2	CD4+T	CD8-CytT	Ciliated	Fibroblast	Mast	Monocyte	NK
LBH	6.738542769625664	6.094432653214558	11.08734999368627	11.184756972608744	6.643833395012999	11.395672186311252	8.050929077165165	6.841201639268969	12.198827949428019
LCK	1.2315935659325539	6.092449544572777	12.477093800945783	12.535258290693925	2.359975665836963	6.4609728393741195	7.435260873294994	7.6672855777393245	13.233759865396646
LCN2	5.677173604197331	10.324048424814164	4.011896242383093	5.160177357444145	10.36043078191742	4.278146260610519	5.471024090966326	4.815414295009899	7.347247348733745
LCP1	3.9358838189559187	7.347174163449458	12.451239450206595	12.4802030087207	4.620451048811058	7.7435118713256434	11.052919715799353	12.967581772338288	13.725724224264132
LCP2	1.2324195916931662	5.766523237189531	10.097065179669722	10.202701398566347	2.2104047003368996	6.197914719800853	8.777603065538218	12.05718001232754	11.03434173872006
LDHA	8.591032064856046	12.585730371772108	13.172876718192422	12.528956719888967	6.353094852245159	13.554681655039268	10.61180432459669	12.735279727701771	13.370202704079695
LDHB	8.34720867440625	12.865951088988636	13.461675502359283	12.38448805902958	9.39224206575724	12.196346543398262	10.980463433465633	10.795177710328929	12.635986957053749
LDLR	7.341716194887132	10.70729165517265	9.810063228120224	8.670914317982614	6.488769167738215	8.768009006823869	7.547490007986858	10.85046143937458	9.606088210647005
LDLRAD1	0.0	2.849434276716357	3.2011195741845766	0.0	9.080202752603219	1.021702013245022	0.0	1.9166887718927272	2.3072674006762375
LEPROT	7.05697297744753	9.419033311919687	9.027533473362572	9.39677395615273	6.779410365384984	11.080334816748435	8.222701022017478	9.718833028156164	9.941267061282783
LEPROTL1	5.869376764149457	8.94833969161689	13.046168219258506	12.08701504567722	6.836868765502135	9.168177681613919	10.025793334342998	10.284997675774967	12.1127265185039
LGALS1	9.156368552459616	9.78840284628056	13.69215526959568	13.559025576027153	7.40839411389138	15.819618367885948	13.10570082801497	15.839144847642444	14.530206538289615
LGALS2	2.6610229168242165	4.700670087047887	3.3775648214622307	2.6746933984322356	1.0189782863610888	6.236152473454132	4.105343510839188	11.488737822034908	5.956949833560799
LGALS3	9.242320970018477	12.157388308029319	11.780576675059468	10.663052360754435	10.589052973470144	13.259845637275903	12.058886531915887	13.048006406517437	11.060600018997627
LGALS3BP	8.590567514456925	11.177326719130786	9.26959238169507	7.801516956760608	7.771385869052329	12.036351053131142	6.477181153950136	7.704718517823502	8.331481614040078
LGMN	6.322101929166484	11.366756050472375	6.888948377027166	6.058110381576487	5.5029690554048	10.225273483625687	5.525975352809387	9.202019230772168	7.136911466965545
LHFPL6	4.255705415149603	7.884070733067252	5.299975785817578	4.549604057017222	1.0498312674937018	11.116795415150756	4.323117034770398	6.338031774299522	5.5767978320036535
LIF	0.8203739587083275	3.812820716342117	6.097916662740385	4.726669613061404	0.0	5.787754626605307	10.931707578412762	6.064499627922746	7.002260554208076
LIMA1	5.5210365989229695	8.895406935417885	8.973775704456143	8.712655891488096	4.891528988870255	11.498443609641598	5.610512922436261	6.91934699553784	9.773095677892648
LIMCH1	7.9000084811535904	10.147475373106207	5.341847019881916	5.144115197910762	6.851890056403027	10.939274188700372	4.956081983014681	5.040877398843226	5.1585551601273565
LIMD2	3.104078629186322	6.406347545577548	11.86105510430259	11.850394591091959	3.6701943994959487	7.683480174179472	8.449019519422821	11.005967639657253	13.459200799706448
LIMS1	5.560205825597858	8.851199838418264	10.18073777976522	8.77166185630633	7.287294422196603	10.572880196914694	9.576118590943672	12.360086726182617	10.159680772426876
LINC-PINT	5.2734107048953	7.758203689899594	11.682039140073224	10.73714253887835	4.9274398282103675	7.733528158623913	7.827586472898421	10.073288307433122	11.126898668720418
LINC00513	4.429602240123309	5.372143976323291	11.735389490907894	10.427018931875295	3.0620336136156343	6.200442361802562	8.469510646082892	9.240406307752115	10.018905076826833
